Sheen Wang Xinming,,,TPG Culture,D,,e,
Theia Zheng Yuxin,,,TPG Culture,A,,e,
NINEONE Nai Wan,,,WR / OC,C,,e,11
Vivi Chen Xinwei,,,Yuehua Entertainment,F,,e,-
Aria Jin Zihan,,,Yuehua Entertainment,C,,,9
Kay Song Zhaoyi,,,Yuehua Entertainment,B,,,-
Thea Xi Ya,,,Yuehua Entertainment,F,,,
Ree Ai Yiyi,,,Yuehua Entertainment,D,,,
Esther Yu Shuxin,,,Huace Pictures,D,,,1
Kiki Xu Jiaqi,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,B,,,7
Diamond Dai Meng,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,C,,,20
Tako Zhang Yuge,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,C,,,24
Eliwa Xuyang Yuzhuo,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,B,,,23
Han Dong,,,Show City Times,D,,,-
BeeBee Huang Xiaoyun,,,Show City Times,D,,,
Wei Shuyu,,,Show City Times,F,,,
Xu Xinwen,,,Show City Times,B,,,21
Bobo Li Xining,,,Happy Jump Culture,F,,,
